Customer_ID,Name,Age,Region,Plan_Type,Monthly_Fee,Signup_Date,Last_Active_Date,Churned,Churn_Date,Support_Tickets,Avg_Usage_Hours_per_Week,Churn,Customer_Lifetime,Tenure_Months,Signup_Month
CUST0052,Tanish Ghosh,41,West Bengal,Basic,599,2025-11-17,2025-11-17,0,,6,6.87,0,0,0.0,2025-11
CUST0053,Tanvi Ghosh,45,West Bengal,Standard,999,2025-09-23,2025-12-09,0,,8,17.77,0,77,2.566666666666667,2025-09
CUST0054,Nitara Joshi,54,Karnataka,Basic,199,2024-08-16,2024-11-06,1,2024-11-01,8,19.34,1,82,2.7333333333333334,2024-08
CUST0055,Kalpit Natt,42,West Bengal,Premium,599,2025-11-16,2026-01-15,0,,9,2.92,0,60,2.0,2025-11
CUST0056,Mason Bahl,39,Maharashtra,Standard,199,2024-08-12,2025-03-21,0,,2,2.84,0,221,7.366666666666666,2024-08
CUST0057,Kashish Rao,21,Karnataka,Premium,999,2024-11-11,2025-12-07,0,,5,16.25,0,391,13.033333333333333,2024-11
CUST0058,Harinakshi Srinivasan,56,Tamil Nadu,Standard,599,2025-08-28,2026-03-27,1,2025-11-16,3,5.28,1,211,7.033333333333333,2025-08
CUST0059,Charvi Buch,29,Karnataka,Basic,199,2025-05-01,2026-03-10,0,,3,3.09,0,313,10.433333333333334,2025-05
CUST0060,Avi Lalla,59,Tamil Nadu,Basic,599,2024-08-11,2025-09-20,0,,5,8.11,0,405,13.5,2024-08
CUST0061,Darsh Vora,63,Maharashtra,Premium,199,2024-05-28,2025-06-29,1,2024-07-15,7,4.08,1,397,13.233333333333333,2024-05
CUST0062,Jack Ram,49,Karnataka,Premium,199,2026-02-18,2026-03-01,0,,2,2.88,0,11,0.36666666666666664,2026-02
CUST0063,Oni De,50,Maharashtra,Premium,999,2025-10-18,2026-03-20,1,2026-01-17,9,7.08,1,153,5.1,2025-10
CUST0064,Robert Sathe,23,West Bengal,Standard,999,2025-08-25,2025-10-25,0,,4,14.51,0,61,2.033333333333333,2025-08
CUST0065,Manthan Ramanathan,56,Karnataka,Basic,999,2025-05-26,2025-12-26,1,2026-03-05,9,11.61,1,214,7.133333333333334,2025-05
CUST0066,Upadhriti Khalsa,36,Delhi,Basic,399,2024-11-18,2025-06-04,1,2026-03-03,2,15.57,1,198,6.6,2024-11
CUST0067,Ryan Lall,26,Karnataka,Premium,199,2025-06-06,2025-10-07,0,,6,5.14,0,123,4.1,2025-06
CUST0068,Lila Chada,49,Karnataka,Basic,599,2025-05-10,2025-09-02,0,,6,16.09,0,115,3.8333333333333335,2025-05
CUST0069,Hemangini Sheth,49,Karnataka,Standard,199,2025-07-29,2025-12-12,1,2026-02-12,8,3.79,1,136,4.533333333333333,2025-07
CUST0070,Janaki Singhal,62,Maharashtra,Standard,999,2024-05-05,2024-09-13,1,2025-05-02,6,6.38,1,131,4.366666666666666,2024-05
CUST0071,Waida Bhatt,65,Maharashtra,Premium,999,2025-09-22,2026-01-06,0,,8,17.73,0,106,3.533333333333333,2025-09
CUST0072,Yutika Karan,38,Delhi,Premium,999,2024-09-29,2026-02-16,1,2025-05-21,2,3.18,1,505,16.833333333333332,2024-09
CUST0073,Sanaya Chandra,52,Delhi,Premium,599,2025-02-23,2025-12-24,1,2025-03-03,4,16.96,1,304,10.133333333333333,2025-02
CUST0074,Kala Andra,63,Karnataka,Basic,399,2025-08-17,2025-08-20,1,2025-10-30,5,4.18,1,3,0.1,2025-08
CUST0075,Daksh Patla,51,Delhi,Basic,999,2024-09-14,2025-09-01,0,,0,18.48,0,352,11.733333333333333,2024-09
CUST0076,Tarak Pau,20,West Bengal,Premium,599,2025-10-06,2026-03-16,1,2026-03-02,0,11.28,1,161,5.366666666666666,2025-10
CUST0077,Kai Sundaram,45,Karnataka,Premium,199,2024-11-27,2024-12-01,0,,9,1.59,0,4,0.13333333333333333,2024-11
CUST0078,Wakeeta Keer,55,Karnataka,Standard,199,2025-03-26,2025-10-22,0,,0,12.88,0,210,7.0,2025-03
CUST0079,Saksham Shah,51,Maharashtra,Premium,399,2024-11-20,2026-03-21,1,2025-01-16,10,5.97,1,486,16.2,2024-11
CUST0080,Qasim Srinivasan,65,Tamil Nadu,Premium,199,2024-10-01,2025-06-23,0,,4,4.1,0,265,8.833333333333334,2024-10
CUST0081,Garima Reddy,61,Delhi,Basic,999,2025-01-07,2025-03-26,0,,0,18.14,0,78,2.6,2025-01
CUST0082,Jeremiah Dave,56,Tamil Nadu,Standard,599,2024-11-07,2025-05-21,1,2025-11-01,4,16.35,1,195,6.5,2024-11
CUST0083,Jeet Sandhu,19,Karnataka,Basic,199,2025-07-18,2025-08-22,1,2025-12-26,10,13.98,1,35,1.1666666666666667,2025-07
CUST0084,Bhavini Uppal,19,Maharashtra,Standard,199,2026-02-07,2026-03-04,1,2026-02-15,9,3.21,1,25,0.8333333333333334,2026-02
CUST0085,Abhiram Chaudhry,44,Karnataka,Basic,999,2025-02-07,2026-03-03,1,2025-07-08,4,14.66,1,389,12.966666666666667,2025-02
CUST0086,Bahadurjit Sani,38,Delhi,Basic,999,2024-12-28,2026-02-05,1,2025-01-15,6,13.48,1,404,13.466666666666667,2024-12
CUST0087,Tanvi Mannan,38,West Bengal,Basic,199,2024-10-18,2025-08-14,1,2025-08-30,4,6.27,1,300,10.0,2024-10
CUST0088,Luke Sen,38,Delhi,Premium,199,2024-07-12,2025-11-02,1,2024-11-10,9,11.58,1,478,15.933333333333334,2024-07
CUST0089,Raagini Ramaswamy,38,Karnataka,Basic,599,2024-09-10,2024-12-20,0,,5,3.06,0,101,3.3666666666666667,2024-09
CUST0090,Varsha Iyengar,35,Maharashtra,Premium,599,2024-08-15,2025-08-27,0,,3,13.1,0,377,12.566666666666666,2024-08
CUST0091,Pahal Prabhu,34,Maharashtra,Premium,599,2025-06-26,2025-12-15,1,2025-12-15,1,15.84,1,172,5.733333333333333,2025-06
CUST0092,Leena Bahl,22,West Bengal,Standard,399,2024-07-26,2026-01-25,1,2025-05-31,4,16.01,1,548,18.266666666666666,2024-07
CUST0093,Yashasvi Dyal,49,Karnataka,Standard,599,2024-05-26,2025-10-14,0,,1,9.01,0,506,16.866666666666667,2024-05
CUST0094,Dalbir Sachdeva,34,Karnataka,Standard,399,2025-06-06,2025-12-02,0,,2,4.95,0,179,5.966666666666667,2025-06
CUST0095,Amol Pandit,52,Maharashtra,Standard,199,2024-08-06,2025-03-03,0,,7,7.65,0,209,6.966666666666667,2024-08
CUST0096,Kavya Bir,20,Maharashtra,Premium,599,2024-11-29,2025-11-18,0,,8,8.72,0,354,11.8,2024-11
CUST0097,Chaman Sachar,56,Maharashtra,Standard,199,2025-11-30,2026-03-03,0,,10,5.02,0,93,3.1,2025-11
CUST0098,Harish Jayaraman,40,West Bengal,Standard,999,2025-06-23,2025-10-08,0,,7,7.6,0,107,3.566666666666667,2025-06
CUST0099,Aditya Deo,51,Maharashtra,Basic,399,2025-01-04,2025-08-24,1,2026-01-29,7,12.45,1,232,7.733333333333333,2025-01
CUST0100,Xavier Venkataraman,50,Maharashtra,Premium,599,2025-06-18,2025-10-30,0,,7,15.0,0,134,4.466666666666667,2025-06
CUST0101,Geetika Sani,36,Maharashtra,Standard,599,2025-06-25,2025-11-12,1,2025-09-16,5,17.85,1,140,4.666666666666667,2025-06
CUST0102,Guneet Pradhan,37,Delhi,Standard,399,2024-04-05,2025-08-05,1,2026-03-11,0,14.2,1,487,16.233333333333334,2024-04
CUST0103,Abhiram Chauhan,37,West Bengal,Basic,599,2025-06-25,2025-12-13,0,,1,5.44,0,171,5.7,2025-06
CUST0104,Ekanta Bhagat,34,Maharashtra,Premium,199,2025-08-17,2025-11-08,1,2025-09-09,3,19.66,1,83,2.7666666666666666,2025-08
CUST0105,Udyati Jhaveri,56,Karnataka,Premium,199,2025-05-09,2025-11-29,1,2026-01-20,8,12.43,1,204,6.8,2025-05
CUST0106,Guneet Purohit,47,Karnataka,Premium,399,2025-01-29,2026-03-07,0,,2,17.8,0,402,13.4,2025-01
CUST0107,Gautam Kothari,61,Karnataka,Premium,199,2025-03-24,2025-04-29,0,,4,16.5,0,36,1.2,2025-03
CUST0108,Zaitra Shenoy,51,West Bengal,Basic,199,2024-04-10,2025-09-09,1,2026-01-21,8,13.85,1,517,17.233333333333334,2024-04
CUST0109,Nihal Loke,23,West Bengal,Premium,599,2024-04-13,2024-05-10,0,,1,4.47,0,27,0.9,2024-04
CUST0110,Advika Parsa,30,Karnataka,Standard,999,2025-07-04,2025-08-10,1,2026-01-01,2,5.93,1,37,1.2333333333333334,2025-07
CUST0111,Ubika Issac,37,Tamil Nadu,Standard,399,2025-09-27,2026-01-12,1,2026-02-24,7,17.2,1,107,3.566666666666667,2025-09
CUST0112,Daksha Sachdev,34,West Bengal,Standard,399,2025-10-14,2026-01-31,1,2026-02-03,6,15.73,1,109,3.6333333333333333,2025-10
CUST0113,Balendra Vasa,65,Delhi,Premium,199,2024-11-12,2026-02-02,1,2025-09-27,5,2.25,1,447,14.9,2024-11
CUST0114,Aarav Kari,64,Tamil Nadu,Premium,999,2025-10-22,2026-01-19,0,,6,4.63,0,89,2.966666666666667,2025-10
CUST0115,Mitali Mukhopadhyay,47,Tamil Nadu,Premium,199,2024-10-02,2025-07-17,1,2025-12-06,4,9.37,1,288,9.6,2024-10
CUST0116,Prisha Konda,28,West Bengal,Premium,999,2024-06-05,2024-10-28,0,,0,4.44,0,145,4.833333333333333,2024-06
CUST0117,Christopher Mand,49,Maharashtra,Standard,199,2024-11-07,2025-10-05,0,,0,11.66,0,332,11.066666666666666,2024-11
CUST0118,Dev Wali,59,Tamil Nadu,Basic,399,2025-06-14,2025-08-22,0,,10,15.55,0,69,2.3,2025-06
CUST0119,Isaiah Sule,58,Tamil Nadu,Basic,599,2026-01-09,2026-02-12,0,,6,4.1,0,34,1.1333333333333333,2026-01
CUST0120,Frederick Balakrishnan,58,Karnataka,Premium,399,2025-09-02,2025-09-19,0,,1,14.02,0,17,0.5666666666666667,2025-09
CUST0121,Mason Kant,39,Delhi,Basic,199,2025-10-10,2026-01-20,1,2026-03-20,0,3.01,1,102,3.4,2025-10
CUST0122,Ijaya Singh,58,Maharashtra,Basic,599,2024-09-13,2024-10-09,1,2024-10-24,0,13.69,1,26,0.8666666666666667,2024-09
CUST0123,Kevin Dutta,43,Tamil Nadu,Standard,599,2025-11-11,2026-01-16,0,,8,2.98,0,66,2.2,2025-11
CUST0124,Tripti Murty,59,West Bengal,Premium,199,2024-12-11,2025-12-31,0,,5,12.67,0,385,12.833333333333334,2024-12
CUST0125,Ati Pingle,30,West Bengal,Basic,399,2024-07-02,2025-04-03,0,,2,18.46,0,275,9.166666666666666,2024-07
CUST0126,Ethan Khurana,45,Delhi,Standard,399,2024-10-10,2025-09-08,0,,4,18.79,0,333,11.1,2024-10
CUST0127,Urvashi Varughese,46,Delhi,Premium,399,2024-12-19,2025-07-27,1,2025-09-27,4,11.61,1,220,7.333333333333333,2024-12
CUST0128,Maya Raj,58,Tamil Nadu,Premium,599,2025-01-24,2025-11-17,0,,8,6.74,0,297,9.9,2025-01
CUST0129,Hitesh Mahajan,40,Tamil Nadu,Basic,999,2026-01-31,2026-02-09,0,,4,19.49,0,9,0.3,2026-01
CUST0130,Lopa Munshi,38,Karnataka,Basic,199,2025-03-27,2025-10-01,1,2025-06-29,8,3.07,1,188,6.266666666666667,2025-03
CUST0131,Krishna Seth,37,Maharashtra,Standard,599,2024-04-28,2026-02-04,0,,7,2.22,0,647,21.566666666666666,2024-04
CUST0132,Laksh Barad,45,Maharashtra,Premium,399,2025-07-09,2026-02-17,0,,6,2.6,0,223,7.433333333333334,2025-07
CUST0133,Chandani Raghavan,25,Tamil Nadu,Basic,999,2025-08-20,2026-01-13,1,2025-12-27,4,16.65,1,146,4.866666666666666,2025-08
CUST0134,Kalpit Atwal,35,Maharashtra,Premium,399,2025-07-09,2026-03-13,1,2026-03-09,0,18.77,1,247,8.233333333333333,2025-07
CUST0135,Aradhana Sood,40,Karnataka,Standard,599,2024-04-28,2025-06-01,0,,0,1.44,0,399,13.3,2024-04
CUST0136,Yash Srinivas,51,Maharashtra,Premium,599,2026-02-24,2026-03-07,1,2026-02-28,1,15.94,1,11,0.36666666666666664,2026-02
CUST0137,Robert Mallick,57,Delhi,Basic,199,2025-04-08,2025-07-29,1,2025-10-26,9,1.58,1,112,3.7333333333333334,2025-04
CUST0138,Shivansh Keer,61,Maharashtra,Premium,999,2024-05-08,2025-04-17,0,,1,3.4,0,344,11.466666666666667,2024-05
CUST0139,Harrison Bose,53,Delhi,Basic,399,2026-01-17,2026-02-12,0,,5,17.05,0,26,0.8666666666666667,2026-01
CUST0140,Hitesh Sami,37,Delhi,Premium,599,2025-11-23,2026-01-02,0,,3,13.86,0,40,1.3333333333333333,2025-11
CUST0141,Balveer Zacharia,39,Delhi,Basic,999,2025-12-03,2026-03-27,0,,0,14.71,0,114,3.8,2025-12
CUST0142,Inaya Sridhar,39,West Bengal,Basic,199,2025-02-24,2025-04-21,0,,6,3.09,0,56,1.8666666666666667,2025-02
CUST0143,Neelima Basu,22,Karnataka,Basic,399,2025-09-02,2026-01-07,0,,5,6.68,0,127,4.233333333333333,2025-09
CUST0144,Nikita Nath,65,West Bengal,Premium,599,2025-06-05,2025-07-06,1,2025-09-17,5,16.67,1,31,1.0333333333333334,2025-06
CUST0145,Yashodhara Barad,33,Delhi,Standard,199,2025-01-30,2025-03-11,1,2025-04-16,2,19.44,1,40,1.3333333333333333,2025-01
CUST0146,Chanchal Narula,29,Maharashtra,Premium,199,2025-03-13,2025-06-25,1,2025-08-26,2,4.61,1,104,3.466666666666667,2025-03
CUST0147,Urvashi Chaudhary,47,Maharashtra,Premium,399,2025-02-11,2025-07-27,1,2025-12-21,1,1.98,1,166,5.533333333333333,2025-02
CUST0148,Vyanjana Palla,22,Maharashtra,Basic,599,2025-01-20,2025-05-22,1,2025-06-08,6,2.94,1,122,4.066666666666666,2025-01
CUST0149,Timothy Krishnan,32,Delhi,Standard,199,2025-02-01,2026-01-23,0,,3,3.53,0,356,11.866666666666667,2025-02
CUST0150,Teerth Dhar,41,Karnataka,Basic,399,2026-01-08,2026-03-13,1,2026-03-30,3,16.28,1,64,2.1333333333333333,2026-01
CUST0151,Faraj Hari,62,Delhi,Premium,199,2025-09-27,2026-01-16,0,,10,4.35,0,111,3.7,2025-09
CUST0152,Bahadurjit Murthy,58,Maharashtra,Standard,599,2026-01-26,2026-02-19,0,,0,17.57,0,24,0.8,2026-01
CUST0153,Jack Prabhu,42,Maharashtra,Basic,599,2025-10-16,2026-01-06,0,,7,17.32,0,82,2.7333333333333334,2025-10
CUST0154,Saksham Mukhopadhyay,39,Tamil Nadu,Standard,399,2025-01-30,2025-04-21,0,,8,1.74,0,81,2.7,2025-01
CUST0155,Wahab Pingle,62,Tamil Nadu,Basic,999,2024-08-10,2026-01-05,1,2025-02-15,5,16.77,1,513,17.1,2024-08
CUST0156,Vihaan Nagy,64,Delhi,Standard,399,2026-01-04,2026-02-27,0,,1,9.82,0,54,1.8,2026-01
CUST0157,Wridesh Mukherjee,26,Maharashtra,Premium,599,2025-06-06,2025-07-17,0,,0,3.36,0,41,1.3666666666666667,2025-06
CUST0158,Harshil Nath,37,Delhi,Basic,999,2024-09-19,2024-11-13,1,2025-04-12,4,17.28,1,55,1.8333333333333333,2024-09
CUST0159,Krisha Viswanathan,31,West Bengal,Basic,399,2025-02-25,2025-12-05,1,2025-10-11,6,19.66,1,283,9.433333333333334,2025-02
CUST0160,Falan Rout,21,West Bengal,Premium,999,2025-05-21,2025-05-27,1,2025-07-31,5,13.59,1,6,0.2,2025-05
CUST0161,Chavvi Swamy,57,Maharashtra,Premium,599,2024-12-28,2025-08-03,0,,8,18.54,0,218,7.266666666666667,2024-12
CUST0162,Amara Dua,61,West Bengal,Premium,599,2024-12-16,2026-02-04,1,2026-01-01,3,17.98,1,415,13.833333333333334,2024-12
CUST0163,Ryan Basu,31,Delhi,Premium,599,2024-08-11,2026-01-17,1,2024-08-18,1,11.17,1,524,17.466666666666665,2024-08
CUST0164,Aditya Sant,59,Tamil Nadu,Standard,399,2024-09-07,2026-03-29,0,,3,7.78,0,568,18.933333333333334,2024-09
CUST0165,Triya Bali,50,Delhi,Premium,599,2025-07-15,2025-10-15,0,,7,4.43,0,92,3.066666666666667,2025-07
CUST0166,Lila Krishnamurthy,42,West Bengal,Premium,599,2025-07-08,2025-09-18,0,,6,1.11,0,72,2.4,2025-07
CUST0167,Nidra Deshmukh,46,Karnataka,Standard,599,2025-08-04,2025-10-09,0,,5,10.9,0,66,2.2,2025-08
CUST0168,Nilima Gola,61,Maharashtra,Basic,599,2024-09-25,2025-01-03,1,2025-06-28,0,1.34,1,100,3.3333333333333335,2024-09
CUST0169,Radhika Dayal,58,Tamil Nadu,Basic,399,2024-09-29,2024-12-28,0,,5,15.91,0,90,3.0,2024-09
CUST0170,Ishaan Mody,57,West Bengal,Premium,999,2024-12-20,2025-11-06,1,2025-06-26,3,3.94,1,321,10.7,2024-12
CUST0171,Vamakshi Manda,24,Delhi,Premium,199,2024-11-08,2024-11-19,0,,7,12.08,0,11,0.36666666666666664,2024-11
CUST0172,Frado Sane,44,Maharashtra,Premium,199,2025-06-07,2025-10-23,1,2026-01-16,9,15.19,1,138,4.6,2025-06
CUST0173,Zilmil Ram,58,West Bengal,Standard,399,2025-07-19,2025-12-13,1,2025-08-22,6,19.2,1,147,4.9,2025-07
CUST0174,Amara Ravel,53,Karnataka,Premium,199,2025-02-09,2025-12-06,1,2025-06-24,5,14.48,1,300,10.0,2025-02
CUST0175,Tara Toor,58,Karnataka,Basic,199,2025-04-05,2025-12-14,0,,2,4.9,0,253,8.433333333333334,2025-04
CUST0176,Jagrati Mitter,51,Tamil Nadu,Basic,999,2024-12-23,2025-06-20,0,,2,18.5,0,179,5.966666666666667,2024-12
CUST0177,Samesh Nori,31,Tamil Nadu,Basic,999,2024-04-17,2025-06-01,0,,3,19.48,0,410,13.666666666666666,2024-04
CUST0178,Amrita Mital,56,Maharashtra,Basic,599,2024-04-20,2024-11-26,1,2025-02-06,0,19.3,1,220,7.333333333333333,2024-04
CUST0179,Rajata Kala,22,Karnataka,Standard,399,2025-06-23,2025-07-30,1,2025-10-08,1,9.9,1,37,1.2333333333333334,2025-06
CUST0180,Dayamai Dua,41,Delhi,Basic,199,2024-12-24,2025-09-15,1,2026-02-21,7,16.71,1,265,8.833333333333334,2024-12
CUST0181,Amrita Divan,54,Tamil Nadu,Premium,999,2025-02-09,2025-09-23,0,,4,11.19,0,226,7.533333333333333,2025-02
CUST0182,Vedant Murty,59,Delhi,Basic,999,2024-06-26,2025-11-03,1,2025-01-16,0,18.76,1,495,16.5,2024-06
CUST0183,Zashil Lalla,23,Tamil Nadu,Standard,599,2025-09-26,2025-10-31,0,,10,6.48,0,35,1.1666666666666667,2025-09
CUST0184,Amaira Nagar,33,Karnataka,Basic,399,2025-02-13,2025-10-29,0,,9,12.67,0,258,8.6,2025-02
CUST0185,Saumya Deol,50,Karnataka,Standard,599,2026-02-24,2026-02-27,0,,9,16.46,0,3,0.1,2026-02
CUST0186,Siya Munshi,19,Maharashtra,Standard,999,2024-11-07,2026-01-19,0,,4,16.86,0,438,14.6,2024-11
CUST0187,Neel Behl,18,Karnataka,Basic,599,2025-11-08,2026-03-11,0,,6,19.45,0,123,4.1,2025-11
CUST0188,Riya Khatri,57,Delhi,Basic,399,2025-10-14,2025-12-07,0,,1,10.41,0,54,1.8,2025-10
CUST0189,Tamanna Bhasin,38,Karnataka,Basic,399,2024-04-22,2025-12-01,0,,5,1.81,0,588,19.6,2024-04
CUST0190,Owen Bhat,59,Maharashtra,Standard,599,2024-07-26,2024-12-30,0,,5,1.19,0,157,5.233333333333333,2024-07
CUST0191,Ekanta Brahmbhatt,21,Tamil Nadu,Basic,199,2024-08-16,2025-10-31,1,2025-09-10,8,9.03,1,441,14.7,2024-08
CUST0192,Daniel Narang,50,Delhi,Basic,999,2025-04-20,2025-05-21,1,2025-07-30,9,5.96,1,31,1.0333333333333334,2025-04
CUST0193,Radhika Wali,50,Delhi,Standard,999,2024-04-19,2024-05-11,0,,1,17.8,0,22,0.7333333333333333,2024-04
